"HITId","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","Answer.0metaphorNovelty0","Answer.0metaphorNovelty1","Answer.0metaphorNovelty2","Answer.0metaphorNovelty3","Answer.0metaphorNovelty4","Answer.0metaphorNovelty5","Answer.0metaphorNovelty6","Answer.1metaphorNovelty0","Answer.2metaphorNovelty0","Answer.2metaphorNovelty1","Answer.2metaphorNovelty2","Answer.2metaphorNovelty3","Answer.2metaphorNovelty4","Answer.2metaphorNovelty5","Answer.3metaphorNovelty0","Answer.4metaphorNovelty0","Answer.4metaphorNovelty1","Answer.4metaphorNovelty2","Answer.4metaphorNovelty3","Answer.4metaphorNovelty4","Answer.4metaphorNovelty5","Answer.5metaphorNovelty0","Answer.6metaphorNovelty0","Answer.6metaphorNovelty1","Answer.6metaphorNovelty2","Answer.6metaphorNovelty3","Answer.6metaphorNovelty4","Answer.6metaphorNovelty5","Answer.7metaphorNovelty0","Answer.8metaphorNovelty0","Answer.8metaphorNovelty1","Answer.8metaphorNovelty2","Answer.8metaphorNovelty3","Answer.8metaphorNovelty4","Answer.8metaphorNovelty5","Answer.9metaphorNovelty0","Answer.example1","Answer.example2","Answer.example3","Approve","Reject"
"3PCPFX4U4ZP2IPDZTR7CYZPGEV4FQM","33NF62TLXJ2YZ8ZUPEJ25V0J3HDKJX",1,"Approved","Mon Jan 09 14:06:01 PST 2017","Mon Jan 09 17:36:01 PST 2017",,,210,"3413__evidence_4__balance_2 2","3413__swinging_8__balance_2 1","3413__original_12__balance_2 0","3413__idea_13__balance_2 0","3413__swamp-dwelling_15__balance_2 0","3413__giant_16__balance_2 0","3413__terrestrial_20__balance_2 0","7948__play_2__Foul_1 1","3394__Active_1__swimmers_2 1","3394__waters_6__swimmers_2 3","3394__oceans_10__swimmers_2 1","3394__feed_14__swimmers_2 0","3394__directly_15__swimmers_2 0","3394__plankton_18__swimmers_2 0","324__excesses_9__form_12 2","32__latter_30__appears_47 1","32__referring_31__appears_47 0","32__course_34__appears_47 0","32__victory_39__appears_47 2","32__significance_44__appears_47 1","32__ignored_53__appears_47 0","7637__moment_8__stop_4 1","7644__positive_2__sense_3 1","7644__path_7__sense_3 0","7644__defined_9__sense_3 0","7644__relative_10__sense_3 1","7644__positive_13__sense_3 1","7644__current_14__sense_3 1","10622__hell_3__bloody_2 3","212__departments_2__act_15 1","212__quangos_4__act_15 0","212__designed_13__act_15 0","212__irritants_17__act_15 0","212__antagonists_19__act_15 0","212__system_24__act_15 1","7710__makes_29__field_31 0",3,1,0,,
"3PCPFX4U4ZP2IPDZTR7CYZPGEV4FQM","3BWI6RSP7G92TD6ISJJ24AI5SQS7E6",2,"Approved","Mon Jan 09 17:56:46 PST 2017","Mon Jan 09 21:21:26 PST 2017",,,446,"3413__evidence_4__balance_2 2","3413__swinging_8__balance_2 3","3413__original_12__balance_2 1","3413__idea_13__balance_2 0","3413__swamp-dwelling_15__balance_2 3","3413__giant_16__balance_2 1","3413__terrestrial_20__balance_2 2","7948__play_2__Foul_1 2","3394__Active_1__swimmers_2 2","3394__waters_6__swimmers_2 0","3394__oceans_10__swimmers_2 1","3394__feed_14__swimmers_2 0","3394__directly_15__swimmers_2 0","3394__plankton_18__swimmers_2 1","324__excesses_9__form_12 3","32__latter_30__appears_47 1","32__referring_31__appears_47 0","32__course_34__appears_47 2","32__victory_39__appears_47 1","32__significance_44__appears_47 1","32__ignored_53__appears_47 0","7637__moment_8__stop_4 1","7644__positive_2__sense_3 2","7644__path_7__sense_3 1","7644__defined_9__sense_3 3","7644__relative_10__sense_3 3","7644__positive_13__sense_3 2","7644__current_14__sense_3 2","10622__hell_3__bloody_2 2","212__departments_2__act_15 1","212__quangos_4__act_15 0","212__designed_13__act_15 2","212__irritants_17__act_15 0","212__antagonists_19__act_15 2","212__system_24__act_15 2","7710__makes_29__field_31 1",3,1,0,,
"3PCPFX4U4ZP2IPDZTR7CYZPGEV4FQM","3DH6GAKTYYPJJSTFBFNF2X3KKU2YZU",3,"Rejected","Mon Jan 09 15:28:59 PST 2017",,"Mon Jan 09 17:36:02 PST 2017","Auto-Reject: Quality-control program identified this assignment as spam.",583,"3413__evidence_4__balance_2 0","3413__swinging_8__balance_2 1","3413__original_12__balance_2 0","3413__idea_13__balance_2 0","3413__swamp-dwelling_15__balance_2 2","3413__giant_16__balance_2 1","3413__terrestrial_20__balance_2 1","7948__play_2__Foul_1 1","3394__Active_1__swimmers_2 0","3394__waters_6__swimmers_2 0","3394__oceans_10__swimmers_2 0","3394__feed_14__swimmers_2 1","3394__directly_15__swimmers_2 0","3394__plankton_18__swimmers_2 2","324__excesses_9__form_12 1","32__latter_30__appears_47 0","32__referring_31__appears_47 0","32__course_34__appears_47 0","32__victory_39__appears_47 0","32__significance_44__appears_47 1","32__ignored_53__appears_47 1","7637__moment_8__stop_4 0","7644__positive_2__sense_3 0","7644__path_7__sense_3 0","7644__defined_9__sense_3 0","7644__relative_10__sense_3 1","7644__positive_13__sense_3 1","7644__current_14__sense_3 1","10622__hell_3__bloody_2 1","212__departments_2__act_15 0","212__quangos_4__act_15 1","212__designed_13__act_15 1","212__irritants_17__act_15 1","212__antagonists_19__act_15 1","212__system_24__act_15 0","7710__makes_29__field_31 1",3,1,0,,
"3PCPFX4U4ZP2IPDZTR7CYZPGEV4FQM","3O6CYIULED1Y8O45QR6J083P74KWU1",4,"Approved","Mon Jan 09 14:21:24 PST 2017","Mon Jan 09 17:36:02 PST 2017",,,412,"3413__evidence_4__balance_2 3","3413__swinging_8__balance_2 1","3413__original_12__balance_2 3","3413__idea_13__balance_2 2","3413__swamp-dwelling_15__balance_2 3","3413__giant_16__balance_2 3","3413__terrestrial_20__balance_2 3","7948__play_2__Foul_1 1","3394__Active_1__swimmers_2 1","3394__waters_6__swimmers_2 0","3394__oceans_10__swimmers_2 0","3394__feed_14__swimmers_2 0","3394__directly_15__swimmers_2 1","3394__plankton_18__swimmers_2 0","324__excesses_9__form_12 3","32__latter_30__appears_47 0","32__referring_31__appears_47 1","32__course_34__appears_47 0","32__victory_39__appears_47 1","32__significance_44__appears_47 1","32__ignored_53__appears_47 2","7637__moment_8__stop_4 1","7644__positive_2__sense_3 3","7644__path_7__sense_3 2","7644__defined_9__sense_3 3","7644__relative_10__sense_3 0","7644__positive_13__sense_3 0","7644__current_14__sense_3 1","10622__hell_3__bloody_2 1","212__departments_2__act_15 2","212__quangos_4__act_15 3","212__designed_13__act_15 3","212__irritants_17__act_15 3","212__antagonists_19__act_15 3","212__system_24__act_15 0","7710__makes_29__field_31 0",3,1,0,,
"3PCPFX4U4ZP2IPDZTR7CYZPGEV4FQM","3S96KQ6I9M4KZ5PP9RBJ3OS2HA2TDT",5,"Approved","Mon Jan 09 12:18:39 PST 2017","Mon Jan 09 17:36:01 PST 2017",,,196,"3413__evidence_4__balance_2 1","3413__swinging_8__balance_2 1","3413__original_12__balance_2 0","3413__idea_13__balance_2 0","3413__swamp-dwelling_15__balance_2 0","3413__giant_16__balance_2 0","3413__terrestrial_20__balance_2 0","7948__play_2__Foul_1 1","3394__Active_1__swimmers_2 0","3394__waters_6__swimmers_2 0","3394__oceans_10__swimmers_2 0","3394__feed_14__swimmers_2 0","3394__directly_15__swimmers_2 0","3394__plankton_18__swimmers_2 0","324__excesses_9__form_12 0","32__latter_30__appears_47 0","32__referring_31__appears_47 0","32__course_34__appears_47 0","32__victory_39__appears_47 0","32__significance_44__appears_47 0","32__ignored_53__appears_47 0","7637__moment_8__stop_4 0","7644__positive_2__sense_3 0","7644__path_7__sense_3 0","7644__defined_9__sense_3 0","7644__relative_10__sense_3 0","7644__positive_13__sense_3 0","7644__current_14__sense_3 0","10622__hell_3__bloody_2 0","212__departments_2__act_15 0","212__quangos_4__act_15 0","212__designed_13__act_15 0","212__irritants_17__act_15 0","212__antagonists_19__act_15 0","212__system_24__act_15 0","7710__makes_29__field_31 0",3,1,1,,
"3PCPFX4U4ZP2IPDZTR7CYZPGEV4FQM","3WS1NTTKEYCGHG6U2VIZ7DTIWCL0FZ",6,"Approved","Mon Jan 09 11:57:57 PST 2017","Mon Jan 09 17:36:02 PST 2017",,,574,"3413__evidence_4__balance_2 3","3413__swinging_8__balance_2 2","3413__original_12__balance_2 2","3413__idea_13__balance_2 0","3413__swamp-dwelling_15__balance_2 1","3413__giant_16__balance_2 1","3413__terrestrial_20__balance_2 2","7948__play_2__Foul_1 2","3394__Active_1__swimmers_2 3","3394__waters_6__swimmers_2 2","3394__oceans_10__swimmers_2 2","3394__feed_14__swimmers_2 0","3394__directly_15__swimmers_2 1","3394__plankton_18__swimmers_2 1","324__excesses_9__form_12 2","32__latter_30__appears_47 3","32__referring_31__appears_47 3","32__course_34__appears_47 2","32__victory_39__appears_47 2","32__significance_44__appears_47 1","32__ignored_53__appears_47 0","7637__moment_8__stop_4 1","7644__positive_2__sense_3 3","7644__path_7__sense_3 2","7644__defined_9__sense_3 2","7644__relative_10__sense_3 2","7644__positive_13__sense_3 1","7644__current_14__sense_3 0","10622__hell_3__bloody_2 1","212__departments_2__act_15 2","212__quangos_4__act_15 2","212__designed_13__act_15 3","212__irritants_17__act_15 0","212__antagonists_19__act_15 1","212__system_24__act_15 1","7710__makes_29__field_31 2",2,0,2,,
"34D9ZRXCYQTJZEB4AFAPFYTQZ3CSAB","32SCWG5HIH4NM4H3INULS8HDBL26PH",4,"Approved","Mon Jan 09 15:09:01 PST 2017","Mon Jan 09 17:36:02 PST 2017",,,310,"7673__section_4__beam_11 0","7673__consider_7__beam_11 0","7673__cylindrical_9__beam_11 1","7673__electron_10__beam_11 0","7673__radius_13__beam_11 0",,,"7710__deflected_23__beam_20 1","39__education_5__add_2 0","39__statistics_8__add_2 1","39__figures_11__add_2 1","39__improve_14__add_2 2","39__position_17__add_2 1",,"5__office_27__head_26 0","273__act_9__rest_13 2","273__obliged_11__rest_13 1","273__stand_16__rest_13 2","273__amplifiers_18__rest_13 1","273__beer_20__rest_13 0",,"10474__hell_6__bloody_5 1","334__books_2__characters_24 0","334__feature_21__characters_24 1","334__perennial_23__characters_24 3","334__tales_27__characters_24 1","334__rhymes_30__characters_24 1",,"2355__operations_9__planning_8 2","7760__setting_12__form_15 1","7760__repetition_17__form_15 3","7760__deliberate_19__form_15 2","7760__contrived_21__form_15 3","7760__aesthetic_23__form_15 1",,"7721__carriers_7__charge_6 1",3,1,0,,
"34D9ZRXCYQTJZEB4AFAPFYTQZ3CSAB","37Q970SNZE8PSAWY4YMYSHV7QUKS1C",7,"Approved","Mon Jan 09 11:54:02 PST 2017","Mon Jan 09 17:36:04 PST 2017",,,257,"7673__section_4__beam_11 0","7673__consider_7__beam_11 0","7673__cylindrical_9__beam_11 0","7673__electron_10__beam_11 0","7673__radius_13__beam_11 0",,,"7710__deflected_23__beam_20 0","39__education_5__add_2 0","39__statistics_8__add_2 0","39__figures_11__add_2 0","39__improve_14__add_2 0","39__position_17__add_2 0",,"5__office_27__head_26 0","273__act_9__rest_13 0","273__obliged_11__rest_13 0","273__stand_16__rest_13 0","273__amplifiers_18__rest_13 0","273__beer_20__rest_13 0",,"10474__hell_6__bloody_5 1","334__books_2__characters_24 0","334__feature_21__characters_24 0","334__perennial_23__characters_24 0","334__tales_27__characters_24 0","334__rhymes_30__characters_24 0",,"2355__operations_9__planning_8 0","7760__setting_12__form_15 0","7760__repetition_17__form_15 0","7760__deliberate_19__form_15 0","7760__contrived_21__form_15 0","7760__aesthetic_23__form_15 0",,"7721__carriers_7__charge_6 0",3,1,0,,
"34D9ZRXCYQTJZEB4AFAPFYTQZ3CSAB","386PBUZZXFX9JEHCAEV3KVDYSHCJLT",8,"Approved","Mon Jan 09 11:48:22 PST 2017","Mon Jan 09 17:36:04 PST 2017",,,160,"7673__section_4__beam_11 0","7673__consider_7__beam_11 0","7673__cylindrical_9__beam_11 0","7673__electron_10__beam_11 0","7673__radius_13__beam_11 0",,,"7710__deflected_23__beam_20 0","39__education_5__add_2 0","39__statistics_8__add_2 0","39__figures_11__add_2 0","39__improve_14__add_2 0","39__position_17__add_2 0",,"5__office_27__head_26 0","273__act_9__rest_13 0","273__obliged_11__rest_13 0","273__stand_16__rest_13 0","273__amplifiers_18__rest_13 0","273__beer_20__rest_13 0",,"10474__hell_6__bloody_5 1","334__books_2__characters_24 0","334__feature_21__characters_24 0","334__perennial_23__characters_24 0","334__tales_27__characters_24 0","334__rhymes_30__characters_24 0",,"2355__operations_9__planning_8 0","7760__setting_12__form_15 0","7760__repetition_17__form_15 0","7760__deliberate_19__form_15 0","7760__contrived_21__form_15 0","7760__aesthetic_23__form_15 0",,"7721__carriers_7__charge_6 0",3,1,0,,
