ID,Avg_Annotation,Weighted_Avg_Annotation,Weighted_Avg_Annotation_Good,Weighted_R_HIT,A1,A1_R,A1_R_Good,A2,A2_R,A2_R_Good,A3,A3_R,A3_R_Good,A4,A4_R,A4_R_Good,A5,A5_R,A5_R_Good,A1xR,A1xR_R,A2xR,A2xR_R,A3xR,A3xR_R,A4xR,A4xR_R,A5xR,A5xR_R,True_Label
7707__model_17__predict_21,0.6,0.41134669161673987,0.59171893834808897,0.14308852311459314,2,0.099744911319259014,0.54085071246822625,1,0.18809659879284027,0.18809659879284027,0,0.20177551616363895,0.77005354108682023,0,0.20625913747958596,0.20625913747958596,0,0.24636168409998446,0.44068792807119694,0,0.24636168409998446,0,0.20625913747958596,0,0.20177551616363895,1,0.18809659879284027,2,0.099744911319259014,1
217__seek_4__knock_6,1.4,1.2551221477683359,1.4179566462917659,0.049818803646878393,3,0.1109291749008962,0.1109291749008962,3,0.13915776383895068,0.32369295762967998,1,0.099744911319259014,0.54085071246822625,0,0.13107179269553593,0.13107179269553593,0,0.19632584367434699,0.19442398845107414,0,0.19632584367434699,3,0.13915776383895068,0,0.13107179269553593,3,0.1109291749008962,1,0.099744911319259014,0
350__output_45__prolific_44,1.6,1.8366506941954719,1.3516753999964224,0.27490147736185655,3,0.13915776383895068,0.32369295762967998,2,0.13107179269553593,0.13107179269553593,2,0.19632584367434699,0.19442398845107414,1,0.038454165147585206,0.038454165147585206,0,0.099744911319259014,0.54085071246822625,2,0.19632584367434699,3,0.13915776383895068,2,0.13107179269553593,0,0.099744911319259014,1,0.038454165147585206,2
7683__electric_19__force_20,1.4,1.0716321177868848,1.2756908451608457,0.17760256636471874,3,-0.018177506412720784,0.072392563359876011,2,0.29508471895958299,0.43760140595340308,1,0.21466084464156546,0.27284355818939576,1,0.24636168409998446,0.44068792807119694,0,0.1921090573627858,0.1921090573627858,2,0.29508471895958299,1,0.24636168409998446,1,0.21466084464156546,0,0.1921090573627858,3,-0.018177506412720784,1
7830__survivor_28__grizzled_27,2.2,2.0753328396454109,2.1546317360528775,0.6017041980742629,3,0.29508471895958299,0.43760140595340308,3,0.52333620895099986,0.81398813696304217,2,0.13915776383895068,0.32369295762967998,2,0.24636168409998446,0.44068792807119694,1,0.67674365908330469,0.81398813696304217,1,0.67674365908330469,3,0.52333620895099986,3,0.29508471895958299,2,0.24636168409998446,2,0.13915776383895068,1
3265__nature_4__manufactures_6,2.4,2.4237270149311829,2.4670620923630362,0.23874955451143023,3,0.13915776383895068,0.32369295762967998,3,0.17160081533119356,0.17160081533119356,2,-0.080026753713099405,-0.080026753713099405,2,0.20757681550547721,0.20757681550547721,2,0.29508471895958299,0.43760140595340308,2,0.29508471895958299,2,0.20757681550547721,3,0.17160081533119356,3,0.13915776383895068,2,-0.080026753713099405,2
1127__drawing_18__look_20,0.8,0.67710033091033106,0.82491651571258384,0.077974904550364987,2,0.099744911319259014,0.54085071246822625,1,0.13915776383895068,0.32369295762967998,1,0.29508471895958299,0.43760140595340308,0,0.18903427955822394,0.3121772240362467,0,0.21292869661109742,0.61983807058644924,1,0.29508471895958299,0,0.21292869661109742,0,0.18903427955822394,1,0.13915776383895068,2,0.099744911319259014,0
2435__happen_7__Plan_11,0.4,0.18907491260805326,0.25964297423155613,0.39722619460727027,1,0.10703315701339026,0.22810687578007671,1,0.13915776383895068,0.32369295762967998,0,0.29508471895958299,0.43760140595340308,0,0.29774085005806217,0.67275924266821652,0,0.46306487807271679,0.46306487807271679,0,0.46306487807271679,0,0.29774085005806217,0,0.29508471895958299,1,0.13915776383895068,1,0.10703315701339026,1
269__reduced_22__rejection_10,0.2,0.15457623565612932,0.1793157946312334,0.42775323079720468,1,0.29508471895958299,0.43760140595340308,0,0.24636168409998446,0.44068792807119694,0,0.41612290976654182,0.54667415377162398,0,0.46090034451588929,0.44697638464353723,0,0.4905218361242365,0.56845533565297413,0,0.4905218361242365,0,0.46090034451588929,0,0.41612290976654182,1,0.29508471895958299,0,0.24636168409998446,0
15565__calling_2__bastard_5,0.0,0.0,0.0,0.17649228843729378,0,0.10758216921849158,0.20852408320750823,0,0.13915776383895068,0.32369295762967998,0,0.15264774234659478,0.29385662277802466,0,0.27634790246441843,0.33501423753884496,0,0.35576470695968637,0.62863920409880902,0,0.35576470695968637,0,0.27634790246441843,0,0.15264774234659478,0,0.13915776383895068,0,0.10758216921849158,0
