ID,Avg_Annotation,Weighted_Avg_Annotation,Weighted_Avg_Annotation_Good,Weighted_R_HIT,A1,A1_R,A1_R_Good,A2,A2_R,A2_R_Good,A3,A3_R,A3_R_Good,A4,A4_R,A4_R_Good,A5,A5_R,A5_R_Good,A1xR,A1xR_R,A2xR,A2xR_R,A3xR,A3xR_R,A4xR,A4xR_R,A5xR,A5xR_R,True_Label
7707__model_17__predict_21,0.6,0.41134669161673987,0.59171893834808897,0.14308852311459314,2,0.099744911319259014,0.54085071246822625,1,0.18809659879284027,0.18809659879284027,0,0.20177551616363895,0.77005354108682023,0,0.20625913747958596,0.20625913747958596,0,0.24636168409998446,0.44068792807119694,0,0.24636168409998446,0,0.20625913747958596,0,0.20177551616363895,1,0.18809659879284027,2,0.099744911319259014,1
7683__electric_19__force_20,1.4,1.0716321177868848,1.2756908451608457,0.17760256636471874,3,-0.018177506412720784,0.072392563359876011,2,0.29508471895958299,0.43760140595340308,1,0.21466084464156546,0.27284355818939576,1,0.24636168409998446,0.44068792807119694,0,0.1921090573627858,0.1921090573627858,2,0.29508471895958299,1,0.24636168409998446,1,0.21466084464156546,0,0.1921090573627858,3,-0.018177506412720784,1
269__reduced_22__rejection_10,0.2,0.15457623565612932,0.1793157946312334,0.42775323079720468,1,0.29508471895958299,0.43760140595340308,0,0.24636168409998446,0.44068792807119694,0,0.41612290976654182,0.54667415377162398,0,0.46090034451588929,0.44697638464353723,0,0.4905218361242365,0.56845533565297413,0,0.4905218361242365,0,0.46090034451588929,0,0.41612290976654182,1,0.29508471895958299,0,0.24636168409998446,0
15565__calling_2__bastard_5,0.0,0.0,0.0,0.17649228843729378,0,0.10758216921849158,0.20852408320750823,0,0.13915776383895068,0.32369295762967998,0,0.15264774234659478,0.29385662277802466,0,0.27634790246441843,0.33501423753884496,0,0.35576470695968637,0.62863920409880902,0,0.35576470695968637,0,0.27634790246441843,0,0.15264774234659478,0,0.13915776383895068,0,0.10758216921849158,0
22__responsible_8__atmosphere_13,0.6,0.33122792403677542,0.42093110842344833,0.42075289777195629,2,0.13915776383895068,0.32369295762967998,1,0.29508471895958299,0.43760140595340308,0,0.4010463286131255,0.66309821605774499,0,0.41657507560283141,0.47446474857546317,0,0.47927109595820422,0.67873149689208545,0,0.47927109595820422,0,0.41657507560283141,0,0.4010463286131255,1,0.29508471895958299,2,0.13915776383895068,1
205__Conference_4__throws_8,0.6,0.62249468182399914,0.44679073295915783,0.35857323022488979,1,0.23298199375312095,0.21074874075464331,1,0.27516798779958407,0.24654263588593983,1,0.40570133098332523,0.56221132514482286,0,0.21292869661109742,0.61983807058644924,0,0.34126676975596953,0.6424941596848065,1,0.40570133098332523,0,0.34126676975596953,1,0.27516798779958407,1,0.23298199375312095,0,0.21292869661109742,0
3360__outline_6__elegant_5,1.4,1.5450595708578738,1.7604271064841603,0.13891053528606551,3,0.13915776383895068,0.32369295762967998,2,0.29508471895958299,0.43760140595340308,1,-0.080026753713099405,-0.080026753713099405,1,0.21941776691706522,0.35487016755553785,0,0.16875454150411162,0.16875454150411162,2,0.29508471895958299,1,0.21941776691706522,0,0.16875454150411162,3,0.13915776383895068,1,-0.080026753713099405,2
7947__radio_9__pieced_3,0.6,0.75118832263972668,0.71101712961202079,0.24767949815089152,2,0.31674660995281834,0.38035116546921305,1,0.26400866765042991,0.51661307980782267,0,0.10758216921849158,0.20852408320750823,0,0.13915776383895068,0.32369295762967998,0,0.3672809333589398,0.3672809333589398,0,0.3672809333589398,2,0.31674660995281834,1,0.26400866765042991,0,0.13915776383895068,0,0.10758216921849158,0
5944__gusty_13__shower_14,2.6,2.559245170532404,2.6034181075950884,0.66837116972679445,3,0.24636168409998446,0.44068792807119694,3,0.43784752846174901,0.6413543171321443,3,0.61534783449591479,0.66011538338932219,2,0.50161597430511118,0.56489462145953595,2,0.52259679469209153,0.58009615776738144,3,0.61534783449591479,2,0.52259679469209153,2,0.50161597430511118,3,0.43784752846174901,3,0.24636168409998446,0
67__exploited_53__situation_51,1.6,1.4983978395775657,1.4278447644626497,0.088943825287422576,2,-0.080026753713099405,-0.080026753713099405,2,0.13915776383895068,0.32369295762967998,2,0.29508471895958299,0.43760140595340308,1,0.13707530118181802,0.55618651039326206,1,0.21941776691706522,0.35487016755553785,2,0.29508471895958299,1,0.21941776691706522,2,0.13915776383895068,1,0.13707530118181802,2,-0.080026753713099405,1
