"avg_r"	"#hitsAntd"	"totalNumAnnotations"	"#hitsAntdH_i"	"numAnnotationsH_i"	"csvListOfPairedRs"	"scoreDistribution"	"annotatorId"
0.2195	7	105	7	105	"150=0.4352, 48=0.3046, 49=0.1584, 218=0.0253, 76=0.0605, 217=0.391, 229=0.2345, 105=0.1462"	"0=43.8%, 1=40.0%, 2=14.3%, 3=1.9%"	"216"
0.3685	3	45	3	45	"216=0.391, 150=0.4454, 218=0.1704, 48=0.4098, 49=0.4259"	"0=66.7%, 1=13.3%, 2=8.9%, 3=11.1%"	"217"
0.1274	6	90	6	90	"216=0.2318, 217=0.1752, 150=0.1512, 48=0.1625, 49=0.1107, 43=-0.189, 218=-0.0948, 179=-0.1737, 225=0.7726"	"0=78.9%, 1=14.4%, 2=5.6%, 3=1.1%"	"215"
-0.049	1	15	0	0	"2=-0.1917, 4=0.1521, 48=-0.2146, 211=0.0581"	"0=0.0%, 1=80.0%, 2=20.0%, 3=0.0%"	"212"
0.4454	1	15	0	0	"2=0.0446, 4=0.7428, 48=0.5488"	"0=80.0%, 1=13.3%, 2=6.7%, 3=0.0%"	"211"
0.1489	3	45	3	45	"216=0.0253, 217=0.1704, 48=0.263, 49=0.1371"	"0=0.0%, 1=20.0%, 2=64.4%, 3=15.6%"	"218"
0.0	1	15	1	15	"216=0.0, 217=0.0, 218=0.0, 48=0.0, 49=0.0"	"0=100.0%, 1=0.0%, 2=0.0%, 3=0.0%"	"219"
0.2327	1	20	0	0	"120=-0.2269, 132=0.3943, 2=0.1773, 19=0.586"	"0=20.0%, 1=40.0%, 2=15.0%, 3=25.0%"	"133"
0.4737	1	20	0	0	"133=0.3943, 120=0.2858, 2=0.6516, 19=0.5631"	"0=75.0%, 1=10.0%, 2=0.0%, 3=15.0%"	"132"
0.2262	6	100	0	0	"150=0.2327, 48=0.1058, 53=0.4242, 192=0.1909, 120=-0.0188, 123=0.3547, 124=0.2884, 4=0.0084, 179=0.3909, 2=0.2851"	"0=54.0%, 1=37.0%, 2=7.0%, 3=2.0%"	"131"
0.1526	1	20	0	0	"120=0.0898, 123=0.2939, 124=0.0, 48=0.227"	"0=20.0%, 1=35.0%, 2=35.0%, 3=10.0%"	"136"
0.3167	1	20	0	0	"121=0.5113, 124=0.229, 126=0.3804, 48=0.1464"	"0=20.0%, 1=15.0%, 2=25.0%, 3=40.0%"	"134"
0.5538	5	100	0	0	"146=0.4266, 145=0.6128, 142=0.6317, 48=0.2451, 140=0.7774, 123=0.4596, 4=0.4013, 2=0.7327, 138=0.6968"	"0=25.0%, 1=44.0%, 2=21.0%, 3=10.0%"	"139"
0.5226	1	20	0	0	"139=0.6968, 142=0.4518, 4=0.6432, 140=0.5917, 48=0.2295"	"0=55.0%, 1=40.0%, 2=5.0%, 3=0.0%"	"138"
0.2499	1	20	0	0	"158=0.3421, 2=0.437, 48=-0.0294"	"0=80.0%, 1=15.0%, 2=5.0%, 3=0.0%"	"166"
0.1965	1	25	0	0	"25=0.2555, 26=0.4832, 23=-0.0817, 18=0.129"	"0=20.0%, 1=40.0%, 2=24.0%, 3=16.0%"	"24"
0.233	2	50	0	0	"24=0.2555, 10=0.1549, 26=0.1834, 23=0.3302, 18=0.2666, 44=0.2957, 42=0.0062, 43=0.3713"	"0=24.0%, 1=22.0%, 2=8.0%, 3=46.0%"	"25"
0.2336	1	25	0	0	"24=0.4832, 25=0.1834, 23=0.1376, 18=0.1301"	"0=64.0%, 1=12.0%, 2=16.0%, 3=8.0%"	"26"
0.311	1	25	0	0	"33=0.3966, 2=0.3833, 28=0.1533"	"0=68.0%, 1=28.0%, 2=4.0%, 3=0.0%"	"27"
0.2243	1	25	0	0	"19=0.2374, 2=0.2585, 4=-0.2224, 22=0.6235"	"0=80.0%, 1=12.0%, 2=8.0%, 3=0.0%"	"20"
0.2583	1	25	0	0	"19=0.2083, 2=0.1241, 20=0.6235, 4=0.0772"	"0=76.0%, 1=16.0%, 2=8.0%, 3=0.0%"	"22"
